CHINA EASTERN AIRLINES,KUNMING,KOLKATA,37159,39027
CHINA EASTERN AIRLINES,PEKING,DELHI,72596,74133
CHINA SOUTHERN,GUANGZHOU,DELHI,105575,107338
DRAGON AIR,HONG KONG,BENGALURU,74706,74332
DRAGON AIR,HONG KONG,KOLKATA,29758,31790
DRUK AIR,BANGKOK,KOLKATA,3293,1707
DRUK AIR,KATHMANDU,DELHI,1662,752
DRUK AIR,PARO,DELHI,23923,24968
DRUK AIR,PARO,KOLKATA,13966,14221
DRUK AIR,SINGAPORE,KOLKATA,4871,4577
EGYPT AIR,CAIRO,MUMBAI,15697,17283
EL-AL-ISRAEL,TELAVIV,MUMBAI,24956,25847
EMIRATES AIRLINE,DUBAI,AHMEDABAD,120718,125103
EMIRATES AIRLINE,DUBAI,BENGALURU,331320,337079
EMIRATES AIRLINE,DUBAI,CHENNAI,336395,352399
EMIRATES AIRLINE,DUBAI,DELHI,470704,463410
EMIRATES AIRLINE,DUBAI,HYDERABAD,335377,340400
EMIRATES AIRLINE,DUBAI,KOCHI,214021,218608
EMIRATES AIRLINE,DUBAI,KOLKATA,164061,152107
EMIRATES AIRLINE,DUBAI,MUMBAI,564822,595677
EMIRATES AIRLINE,DUBAI,TRIVANDRUM,146926,147610
ETHIOPIAN AIRLINES,ADDIS ABABA,DELHI,54833,56924
ETHIOPIAN AIRLINES,ADDIS ABABA,MUMBAI,88912,89013
ETHIOPIAN AIRLINES,GUANGZHOU,MUMBAI,0,0
ETIHAD AIRLINES,ABUDHABI,AHMEDABAD,52169,53860
ETIHAD AIRLINES,ABUDHABI,BENGALURU,88641,92005
ETIHAD AIRLINES,ABUDHABI,CHENNAI,144342,145293
ETIHAD AIRLINES,ABUDHABI,DELHI,218286,206245
ETIHAD AIRLINES,ABUDHABI,HYDERABAD,150198,137773
ETIHAD AIRLINES,ABUDHABI,JAIPUR,28428,34492
ETIHAD AIRLINES,ABUDHABI,KOCHI,170419,169249
ETIHAD AIRLINES,ABUDHABI,KOLKATA,39612,41140
